I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-14, -39, -24, 26, 4, -31, 34, 29, 24, 48, 29, -24, 
-14, -39, -24, 26, 4, -31, 34, 29, 24, 48, 34, -19, 
-14, -39, -24, 26, 4, -31, 43, 29, 24, 48, 39, -19, 
-14, -39, -24, 26, 4, -31, 43, 24, 24, 48, 43, -9, 
-19, -39, -19, 29, 0, -29, 43, 24, 29, 48, 43, -9, 
-19, -34, -14, 26, -2, -24, 43, 29, 29, 48, 39, -9, 
-14, -29, -14, 21, 0, -21, 43, 29, 34, 58, 39, 0, 
-14, -29, -14, 21, 0, -21, 39, 29, 34, 58, 39, -4, 
-14, -29, -14, 21, 0, -21, 39, 29, 34, 63, 43, -4, 
-14, -29, -14, 21, 0, -21, 43, 29, 39, 68, 48, 0, 
-14, -34, -19, 24, 2, -26, 34, 29, 29, 58, 58, -4, 
-14, -34, -19, 24, 2, -26, 34, 29, 29, 58, 58, 0, 
-14, -34, -19, 24, 2, -26, 34, 29, 29, 58, 58, 4, 
-14, -24, -9, 19, -2, -17, 34, 29, 29, 58, 58, 14, 
-24, -34, -9, 29, -7, -21, 29, 34, 29, 58, 58, 14, 
-19, -29, -9, 24, -4, -19, 29, 34, 29, 68, 58, 14, 
-19, -29, -9, 24, -4, -19, 29, 34, 34, 68, 58, 14, 
-19, -29, -9, 24, -4, -19, 29, 34, 34, 68, 63, 14, 
-19, -19, 0, 19, -9, -9, 29, 34, 39, 68, 68, 14, 
-19, -24, -4, 21, -7, -14, 29, 34, 39, 68, 73, 14, 
-19, -24, -4, 21, -7, -14, 29, 34, 39, 68, 73, 19, 
-19, -19, 0, 19, -9, -9, 24, 34, 39, 68, 73, 24, 
-19, -24, -4, 21, -7, -14, 14, 24, 24, 68, 63, 19, 
-19, -24, -4, 21, -7, -14, 14, 24, 24, 63, 63, 19, 
-19, -24, -4, 21, -7, -14, 14, 24, 29, 63, 68, 19, 
-19, -24, -4, 21, -7, -14, 14, 24, 34, 63, 73, 19, 
-19, -34, -14, 26, -2, -24, 24, 24, 29, 73, 68, 24, 
-19, -34, -14, 26, -2, -24, 24, 29, 29, 73, 73, 24, 
-19, -34, -14, 26, -2, -24, 24, 29, 29, 73, 78, 29, 
-19, -34, -14, 26, -2, -24, 24, 34, 29, 73, 78, 34, 
-9, -19, -9, 14, 0, -14, 24, 34, 24, 68, 78, 39, 
-9, -14, -4, 12, -2, -9, 24, 34, 24, 73, 78, 39, 
-9, -14, -4, 12, -2, -9, 24, 39, 39, 82, 82, 39, 
-9, -14, -4, 12, -2, -9, 24, 39, 43, 87, 82, 43, 
-4, -4, 0, 4, -2, -2, 24, 48, 53, 97, 107, 48, 
-4, -4, 0, 4, -2, -2, 24, 53, 58, 97, 107, 48, 
-9, -9, 0, 9, -4, -4, 24, 58, 58, 97, 112, 58, 
-9, -9, 0, 9, -4, -4, 29, 58, 58, 102, 112, 63, 
-9, -9, 0, 9, -4, -4, 29, 58, 58, 97, 102, 63, 
-9, -4, 4, 7, -7, 0, 29, 63, 68, 107, 102, 68, 
-9, 0, 9, 4, -9, 4, 24, 63, 68, 112, 112, 73, 
-9, 0, 9, 4, -9, 4, 24, 68, 73, 122, 117, 73, 
-19, 0, 19, 9, -19, 9, 29, 68, 68, 126, 136, 78, 
-19, 0, 19, 9, -19, 9, 29, 73, 73, 126, 136, 78, 
-19, -4, 14, 12, -17, 4, 34, 73, 78, 126, 141, 87, 
-19, -4, 14, 12, -17, 4, 34, 78, 82, 131, 151, 97, 
-9, -9, 0, 9, -4, -4, 29, 82, 82, 136, 141, 97, 
-9, -4, 4, 7, -7, 0, 29, 87, 87, 146, 141, 97, 
-9, -4, 4, 7, -7, 0, 29, 92, 97, 151, 146, 97, 
-14, -4, 9, 9, -12, 2, 29, 97, 102, 156, 151, 102, 
-14, 0, 14, 7, -14, 7, 19, 87, 97, 161, 151, 97, 
-14, 0, 14, 7, -14, 7, 24, 97, 102, 165, 161, 107, 
-14, -4, 9, 9, -12, 2, 24, 97, 107, 161, 170, 112, 
-24, -4, 19, 14, -21, 7, 29, 107, 107, 165, 175, 122, 
-24, -4, 19, 14, -21, 7, 29, 107, 112, 170, 180, 141, 
-24, -4, 19, 14, -21, 7, 34, 112, 122, 180, 180, 141, 
-24, 0, 24, 12, -24, 12, 34, 117, 131, 190, 190, 146, 
-24, 0, 24, 12, -24, 12, 39, 122, 136, 195, 195, 146, 
-24, 14, 39, 4, -31, 26, 39, 126, 146, 204, 204, 161, 
-24, 19, 43, 2, -34, 31, 43, 136, 156, 214, 214, 165, 
-24, 19, 43, 2, -34, 31, 43, 141, 161, 219, 219, 170, 
-29, 14, 43, 7, -36, 29, 48, 146, 161, 224, 224, 185, 
-34, 14, 48, 9, -41, 31, 53, 156, 165, 234, 234, 190, 
-34, 19, 53, 7, -43, 36, 58, 161, 175, 234, 234, 195, 
-34, 19, 53, 7, -43, 36, 58, 170, 185, 244, 239, 190, 
-43, 19, 63, 12, -53, 41, 58, 175, 195, 253, 244, 190, 
-58, 9, 68, 24, -63, 39, 58, 180, 195, 248, 253, 190, 
-58, 14, 73, 21, -65, 43, 68, 185, 204, 258, 258, 195, 
-63, 14, 78, 24, -70, 46, 68, 185, 209, 258, 263, 195, 
-73, 9, 82, 31, -78, 46, 68, 190, 209, 268, 268, 204, 
-78, 4, 82, 36, -80, 43, 82, 195, 214, 268, 268, 200, 
-78, 4, 82, 36, -80, 43, 82, 200, 214, 268, 268, 209, 
-87, 9, 97, 39, -92, 53, 82, 204, 219, 268, 268, 209, 
-87, 9, 97, 39, -92, 53, 82, 204, 224, 268, 268, 204, 
-82, 14, 97, 34, -90, 56, 73, 195, 219, 273, 258, 204, 
-82, 14, 97, 34, -90, 56, 78, 195, 219, 278, 263, 204, 
-87, 14, 102, 36, -95, 58, 82, 204, 229, 278, 268, 204, 
-97, 14, 112, 41, -104, 63, 87, 204, 229, 278, 268, 209, 
-102, 24, 126, 39, -114, 75, 97, 200, 234, 273, 278, 214, 
-102, 24, 126, 39, -114, 75, 97, 200, 234, 268, 273, 214, 
-107, 24, 131, 41, -119, 78, 97, 200, 234, 268, 268, 214, 
-107, 24, 131, 41, -119, 78, 97, 195, 229, 268, 263, 214, 
-107, 24, 131, 41, -119, 78, 97, 190, 229, 263, 258, 204, 
-112, 24, 136, 43, -124, 80, 97, 190, 229, 258, 258, 200, 
-112, 24, 136, 43, -124, 80, 102, 185, 224, 253, 253, 200, 
